Task 00001 Time:3319ms
Task 00002 Time:672ms
Task 00003 Time:611ms
Task 00005 Time:3981ms
Task 00006 Time:45142ms
Task 00023 Time:1153ms nrAxioms: 13 sizeLargestInferencePremise: 3 nrRuleApplications: 13: true
Task 00024 Time:1377ms nrAxioms: 14 sizeLargestInferencePremise: 3 nrRuleApplications: 14: true
Task 00025 Time:105ms nrAxioms: 3 sizeLargestInferencePremise: 2 nrRuleApplications: 3: true
Task 00026 Time:4630ms nrAxioms: 21 sizeLargestInferencePremise: 3 nrRuleApplications: 21: true
Task 00027 Time:2601ms nrAxioms: 11 sizeLargestInferencePremise: 2 nrRuleApplications: 11: true
Task 00028 Time:946ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00029 Time:18689ms nrAxioms: 9 sizeLargestInferencePremise: 3 nrRuleApplications: 9: true
Task 00030 Time:1334ms nrAxioms: 15 sizeLargestInferencePremise: 3 nrRuleApplications: 15: true
Task 00013 Time:3145ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00001 Time:2931ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:1013ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00003 Time:540ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00005 Time:1358ms nrAxioms: 15 sizeLargestInferencePremise: 2 nrRuleApplications: 15: true
Task 00006 Time:946ms nrAxioms: 11 sizeLargestInferencePremise: 3 nrRuleApplications: 11: true
Task 00007 Time:517ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00008 Time:756ms nrAxioms: 8 sizeLargestInferencePremise: 2 nrRuleApplications: 8: true
Task 00009 Time:891ms nrAxioms: 11 sizeLargestInferencePremise: 2 nrRuleApplications: 11: true
Task 00010 Time:744ms nrAxioms: 11 sizeLargestInferencePremise: 3 nrRuleApplications: 11: true
Task 00011 Time:2393ms nrAxioms: 8 sizeLargestInferencePremise: 2 nrRuleApplications: 8: true
Task 00012 Time:74ms nrAxioms: 2 sizeLargestInferencePremise: 1 nrRuleApplications: 2: true
Task 00013 Time:371ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00013 Time:2227ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00013 Time:2603ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00013 Time:2353ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00013 Time:2260ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00033 Time:2282ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00034 Time:6672ms nrAxioms: 26 sizeLargestInferencePremise: 4 nrRuleApplications: 26: true
Task 00033 Time:2534ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00022 Time:2627ms nrAxioms: 9 sizeLargestInferencePremise: 2 nrRuleApplications: 9: true
Task 00023 Time:2035ms nrAxioms: 13 sizeLargestInferencePremise: 3 nrRuleApplications: 13: true
Task 00003 Time:1990ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2152ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2113ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2123ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2487ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2287ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2294ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2015ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:3620ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:4509ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:3508ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00005 Time:4175ms nrAxioms: 15 sizeLargestInferencePremise: 2 nrRuleApplications: 15: true
Task 00003 Time:3803ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:6430ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:5372ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:4050ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2397ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2292ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00005 Time:1825ms nrAxioms: 15 sizeLargestInferencePremise: 2 nrRuleApplications: 15: true
Task 00003 Time:2416ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2043ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:1967ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2002ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00005 Time:1782ms nrAxioms: 15 sizeLargestInferencePremise: 2 nrRuleApplications: 15: true
Task 00003 Time:2092ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2242ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:2038ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:1977ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:1817ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:1686ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00005 Time:1839ms nrAxioms: 15 sizeLargestInferencePremise: 2 nrRuleApplications: 15: true
Task 00006 Time:1136ms nrAxioms: 11 sizeLargestInferencePremise: 3 nrRuleApplications: 11: true
Task 00001 Time:2786ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:639ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00003 Time:502ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00005 Time:1220ms nrAxioms: 15 sizeLargestInferencePremise: 2 nrRuleApplications: 15: true
Task 00006 Time:891ms nrAxioms: 11 sizeLargestInferencePremise: 3 nrRuleApplications: 11: true
Task 00008 Time:2728ms nrAxioms: 8 sizeLargestInferencePremise: 2 nrRuleApplications: 8: true
Task 00009 Time:1348ms nrAxioms: 11 sizeLargestInferencePremise: 2 nrRuleApplications: 11: true
Task 00010 Time:1071ms nrAxioms: 11 sizeLargestInferencePremise: 3 nrRuleApplications: 11: true
Task 00011 Time:5226ms nrAxioms: 8 sizeLargestInferencePremise: 2 nrRuleApplications: 8: true
Task 00012 Time:159ms nrAxioms: 2 sizeLargestInferencePremise: 1 nrRuleApplications: 2: true
Task 00013 Time:598ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00001 Time:4015ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00003 Time:3032ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00005 Time:2777ms nrAxioms: 15 sizeLargestInferencePremise: 2 nrRuleApplications: 15: true
Task 00013 Time:2886ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00000 Time:1805ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:5034ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00013 Time:2186ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
