Task 00001 Time:115ms
Task 00002 Time:20ms
Task 00003 Time:22ms
Task 00005 Time:11ms
Task 00006 Time:13ms
Task 00024 Time:4ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00025 Time:9ms nrAxioms: 9 sizeLargestInferencePremise: 2 nrRuleApplications: 9: true
Task 00026 Time:69ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00027 Time:2ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00028 Time:8ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00029 Time:6ms nrAxioms: 17 sizeLargestInferencePremise: 4 nrRuleApplications: 23: true
Task 00030 Time:4ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00031 Time:5ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00032 Time:3ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00033 Time:15ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00010 Time:2092097ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00013 Time:420ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00014 Time:23ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00015 Time:50ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00016 Time:19ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00017 Time:112ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00018 Time:4ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00019 Time:7ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00020 Time:16ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00021 Time:8ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00022 Time:18ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00023 Time:6ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00024 Time:11ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00025 Time:27ms nrAxioms: 9 sizeLargestInferencePremise: 2 nrRuleApplications: 9: true
Task 00026 Time:13ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00027 Time:15ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00028 Time:27ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00029 Time:20ms nrAxioms: 17 sizeLargestInferencePremise: 4 nrRuleApplications: 23: true
Task 00030 Time:18ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00013 Time:1617369ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00001 Time:174ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00002 Time:6ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:6ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00005 Time:6ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00006 Time:7ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00007 Time:5ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00008 Time:7ms nrAxioms: 15 sizeLargestInferencePremise: 3 nrRuleApplications: 18: true
Task 00009 Time:3687ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00010 Time:6ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00011 Time:10ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00012 Time:3ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00033 Time:27275ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00033 Time:434830ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00022 Time:1686ms nrAxioms: 17 sizeLargestInferencePremise: 2 nrRuleApplications: 17: true
Task 00023 Time:12ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:582875ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:131081ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:208934ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:11739ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:295000ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:38447ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00005 Time:9347ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:181656ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:548035ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:236949ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:27052ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
